country,Chad,China,India,Madagascar,Niger,Nigeria,Pakistan,Rwanda,Turkey,Vietnam
Chad,1,2,2,2,2,2,2,2,0,2
China,0,1,2,0,0,0,0,0,0,2
India,0,2,1,0,0,0,0,0,0,2
Madagascar,0,2,2,1,2,2,2,2,0,2
Niger,0,2,2,0,1,2,2,2,0,2
Nigeria,0,2,2,0,0,1,2,2,0,2
Pakistan,0,2,2,0,0,0,1,0,0,2
Rwanda,0,2,2,0,0,0,2,1,0,2
Turkey,0,0,0,0,0,0,0,0,1,0
Vietnam,0,0,0,0,0,0,0,0,0,1
